subject_id,image_name_1,image_name_2,image_name_3,source_name,ra,dec,#size
148,ILTJ143203.65+340405.7_I.png,ILTJ143203.65+340405.7_Ip.png,ILTJ143203.65+340405.7_S.png,ILTJ143203.65+340405.7,218.015211,34.068273,40.000000
147,ILTJ143205.40+331728.3_I.png,ILTJ143205.40+331728.3_Ip.png,ILTJ143205.40+331728.3_S.png,ILTJ143205.40+331728.3,218.029999,33.289904,50.000000
145,ILTJ143207.29+345807.5_I.png,ILTJ143207.29+345807.5_Ip.png,ILTJ143207.29+345807.5_S.png,ILTJ143207.29+345807.5,218.030359,34.968760,30.000000
146,ILTJ143207.33+340558.4_I.png,ILTJ143207.33+340558.4_Ip.png,ILTJ143207.33+340558.4_S.png,ILTJ143207.33+340558.4,218.030522,34.099566,30.000000
144,ILTJ143209.43+333510.3_I.png,ILTJ143209.43+333510.3_Ip.png,ILTJ143209.43+333510.3_S.png,ILTJ143209.43+333510.3,218.039288,33.586214,30.000000
143,ILTJ143210.16+325433.8_I.png,ILTJ143210.16+325433.8_Ip.png,ILTJ143210.16+325433.8_S.png,ILTJ143210.16+325433.8,218.042316,32.909413,30.000000
136,ILTJ143210.85+341131.4_I.png,ILTJ143210.85+341131.4_Ip.png,ILTJ143210.85+341131.4_S.png,ILTJ143210.85+341131.4,218.045191,34.192063,90.000000
141,ILTJ143211.05+354202.4_I.png,ILTJ143211.05+354202.4_Ip.png,ILTJ143211.05+354202.4_S.png,ILTJ143211.05+354202.4,218.046038,35.700692,30.000000
140,ILTJ143211.36+331323.0_I.png,ILTJ143211.36+331323.0_Ip.png,ILTJ143211.36+331323.0_S.png,ILTJ143211.36+331323.0,218.047317,33.223081,30.000000
142,ILTJ143211.49+324359.0_I.png,ILTJ143211.49+324359.0_Ip.png,ILTJ143211.49+324359.0_S.png,ILTJ143211.49+324359.0,218.047859,32.733066,30.000000
138,ILTJ143212.11+345641.5_I.png,ILTJ143212.11+345641.5_Ip.png,ILTJ143212.11+345641.5_S.png,ILTJ143212.11+345641.5,218.060697,34.945413,80.000000
139,ILTJ143212.20+345922.8_I.png,ILTJ143212.20+345922.8_Ip.png,ILTJ143212.20+345922.8_S.png,ILTJ143212.20+345922.8,218.050845,34.989681,30.000000
137,ILTJ143214.01+351340.1_I.png,ILTJ143214.01+351340.1_Ip.png,ILTJ143214.01+351340.1_S.png,ILTJ143214.01+351340.1,218.058389,35.227815,40.000000
133,ILTJ143214.66+341751.7_I.png,ILTJ143214.66+341751.7_Ip.png,ILTJ143214.66+341751.7_S.png,ILTJ143214.66+341751.7,218.061067,34.297704,30.000000
135,ILTJ143215.11+353721.3_I.png,ILTJ143215.11+353721.3_Ip.png,ILTJ143215.11+353721.3_S.png,ILTJ143215.11+353721.3,218.062963,35.622609,30.000000
134,ILTJ143215.32+342651.1_I.png,ILTJ143215.32+342651.1_Ip.png,ILTJ143215.32+342651.1_S.png,ILTJ143215.32+342651.1,218.062473,34.440980,50.000000
132,ILTJ143216.66+345643.4_I.png,ILTJ143216.66+345643.4_Ip.png,ILTJ143216.66+345643.4_S.png,ILTJ143216.66+345643.4,218.060697,34.945413,80.000000
131,ILTJ143217.61+325348.7_I.png,ILTJ143217.61+325348.7_Ip.png,ILTJ143217.61+325348.7_S.png,ILTJ143217.61+325348.7,218.073369,32.896860,30.000000
130,ILTJ143223.16+323859.8_I.png,ILTJ143223.16+323859.8_Ip.png,ILTJ143223.16+323859.8_S.png,ILTJ143223.16+323859.8,218.096484,32.649958,30.000000
129,ILTJ143224.14+332435.6_I.png,ILTJ143224.14+332435.6_Ip.png,ILTJ143224.14+332435.6_S.png,ILTJ143224.14+332435.6,218.100590,33.409893,40.000000
128,ILTJ143225.41+345053.6_I.png,ILTJ143225.41+345053.6_Ip.png,ILTJ143225.41+345053.6_S.png,ILTJ143225.41+345053.6,218.105890,34.848245,30.000000
127,ILTJ143227.77+354603.4_I.png,ILTJ143227.77+354603.4_Ip.png,ILTJ143227.77+354603.4_S.png,ILTJ143227.77+354603.4,218.115689,35.767623,50.000000
126,ILTJ143234.41+354521.3_I.png,ILTJ143234.41+354521.3_Ip.png,ILTJ143234.41+354521.3_S.png,ILTJ143234.41+354521.3,218.143379,35.755932,90.000000
125,ILTJ143243.09+322121.1_I.png,ILTJ143243.09+322121.1_Ip.png,ILTJ143243.09+322121.1_S.png,ILTJ143243.09+322121.1,218.179524,32.355879,60.000000
123,ILTJ143248.76+332044.1_I.png,ILTJ143248.76+332044.1_Ip.png,ILTJ143248.76+332044.1_S.png,ILTJ143248.76+332044.1,218.203173,33.345590,30.000000
124,ILTJ143248.82+343159.9_I.png,ILTJ143248.82+343159.9_Ip.png,ILTJ143248.82+343159.9_S.png,ILTJ143248.82+343159.9,218.203402,34.533325,30.000000
122,ILTJ143251.34+322057.8_I.png,ILTJ143251.34+322057.8_Ip.png,ILTJ143251.34+322057.8_S.png,ILTJ143251.34+322057.8,218.213905,32.349393,50.000000
120,ILTJ143259.33+333254.2_I.png,ILTJ143259.33+333254.2_Ip.png,ILTJ143259.33+333254.2_S.png,ILTJ143259.33+333254.2,218.247221,33.548404,30.000000
119,ILTJ143303.09+342106.7_I.png,ILTJ143303.09+342106.7_Ip.png,ILTJ143303.09+342106.7_S.png,ILTJ143303.09+342106.7,218.262869,34.351869,30.000000
118,ILTJ143304.44+325808.5_I.png,ILTJ143304.44+325808.5_Ip.png,ILTJ143304.44+325808.5_S.png,ILTJ143304.44+325808.5,218.268482,32.969044,30.000000
116,ILTJ143306.71+354246.6_I.png,ILTJ143306.71+354246.6_Ip.png,ILTJ143306.71+354246.6_S.png,ILTJ143306.71+354246.6,218.277949,35.712964,50.000000
117,ILTJ143307.13+342716.7_I.png,ILTJ143307.13+342716.7_Ip.png,ILTJ143307.13+342716.7_S.png,ILTJ143307.13+342716.7,218.279705,34.454638,30.000000
114,ILTJ143309.61+333610.3_I.png,ILTJ143309.61+333610.3_Ip.png,ILTJ143309.61+333610.3_S.png,ILTJ143309.61+333610.3,218.290053,33.602875,70.000000
115,ILTJ143310.08+350101.9_I.png,ILTJ143310.08+350101.9_Ip.png,ILTJ143310.08+350101.9_S.png,ILTJ143310.08+350101.9,218.292016,35.017213,30.000000
113,ILTJ143313.77+334018.1_I.png,ILTJ143313.77+334018.1_Ip.png,ILTJ143313.77+334018.1_S.png,ILTJ143313.77+334018.1,218.307391,33.671700,60.000000
112,ILTJ143315.62+332858.8_I.png,ILTJ143315.62+332858.8_Ip.png,ILTJ143315.62+332858.8_S.png,ILTJ143315.62+332858.8,218.315095,33.483005,90.000000
110,ILTJ143317.98+345104.4_I.png,ILTJ143317.98+345104.4_Ip.png,ILTJ143317.98+345104.4_S.png,ILTJ143317.98+345104.4,218.324933,34.851236,90.000000
111,ILTJ143318.74+344356.6_I.png,ILTJ143318.74+344356.6_Ip.png,ILTJ143318.74+344356.6_S.png,ILTJ143318.74+344356.6,218.328102,34.732403,50.000000
108,ILTJ143324.40+354611.3_I.png,ILTJ143324.40+354611.3_Ip.png,ILTJ143324.40+354611.3_S.png,ILTJ143324.40+354611.3,218.351661,35.769821,90.000000
109,ILTJ143325.57+354201.0_I.png,ILTJ143325.57+354201.0_Ip.png,ILTJ143325.57+354201.0_S.png,ILTJ143325.57+354201.0,218.356544,35.700279,30.000000
106,ILTJ143326.49+333457.4_I.png,ILTJ143326.49+333457.4_Ip.png,ILTJ143326.49+333457.4_S.png,ILTJ143326.49+333457.4,218.360383,33.582612,50.000000
107,ILTJ143327.32+343431.8_I.png,ILTJ143327.32+343431.8_Ip.png,ILTJ143327.32+343431.8_S.png,ILTJ143327.32+343431.8,218.369414,34.575521,60.000000
104,ILTJ143330.10+343442.5_I.png,ILTJ143330.10+343442.5_Ip.png,ILTJ143330.10+343442.5_S.png,ILTJ143330.10+343442.5,218.369414,34.575521,60.000000
105,ILTJ143330.14+354409.7_I.png,ILTJ143330.14+354409.7_Ip.png,ILTJ143330.14+354409.7_S.png,ILTJ143330.14+354409.7,218.375578,35.736041,40.000000
103,ILTJ143339.34+334155.2_I.png,ILTJ143339.34+334155.2_Ip.png,ILTJ143339.34+334155.2_S.png,ILTJ143339.34+334155.2,218.413905,33.698685,30.000000
102,ILTJ143339.93+341132.9_I.png,ILTJ143339.93+341132.9_Ip.png,ILTJ143339.93+341132.9_S.png,ILTJ143339.93+341132.9,218.427684,34.194300,80.000000
101,ILTJ143342.01+332859.7_I.png,ILTJ143342.01+332859.7_Ip.png,ILTJ143342.01+332859.7_S.png,ILTJ143342.01+332859.7,218.425051,33.483266,30.000000
100,ILTJ143344.05+332118.3_I.png,ILTJ143344.05+332118.3_Ip.png,ILTJ143344.05+332118.3_S.png,ILTJ143344.05+332118.3,218.433556,33.355101,30.000000
99,ILTJ143345.27+341146.1_I.png,ILTJ143345.27+341146.1_Ip.png,ILTJ143345.27+341146.1_S.png,ILTJ143345.27+341146.1,218.427684,34.194300,80.000000
95,ILTJ143345.98+325717.3_I.png,ILTJ143345.98+325717.3_Ip.png,ILTJ143345.98+325717.3_S.png,ILTJ143345.98+325717.3,218.441578,32.954821,40.000000
97,ILTJ143346.36+340017.3_I.png,ILTJ143346.36+340017.3_Ip.png,ILTJ143346.36+340017.3_S.png,ILTJ143346.36+340017.3,218.443170,34.004807,30.000000
98,ILTJ143346.54+344415.6_I.png,ILTJ143346.54+344415.6_Ip.png,ILTJ143346.54+344415.6_S.png,ILTJ143346.54+344415.6,218.443937,34.737669,30.000000
96,ILTJ143347.30+342406.7_I.png,ILTJ143347.30+342406.7_Ip.png,ILTJ143347.30+342406.7_S.png,ILTJ143347.30+342406.7,218.447104,34.401887,30.000000
93,ILTJ143350.50+331831.6_I.png,ILTJ143350.50+331831.6_Ip.png,ILTJ143350.50+331831.6_S.png,ILTJ143350.50+331831.6,218.460437,33.308799,30.000000
